artistId,artistName,artistImg,artistChosen
5WZViOJ21095FUcGPMpKFF,"MC SQUARE",https://i.scdn.co/image/ab6761610000e5eb870edc847976bcd06b56706a,0
3WGpXCj9YhhfX11TToZcXP,"Troye Sivan",https://i.scdn.co/image/ab6761610000e5eb002eedc44fefe085daae10e4,0
1KeIof0zqga5ojkmOKg88P,"Plastic Bertrand",https://i.scdn.co/image/ab6761610000e5eba5a2ce029483726a2f855445,0
4S9EykWXhStSc15wEx8QFK,"Céline Dion",https://i.scdn.co/image/ab6761610000e5eb357f2a87bf92208767a48e7e,0
6U1dBXJhC8gXFjamvFTmHg,"Zac Efron",https://i.scdn.co/image/735f581e4a58d772bd495494dceae99120ea0f4e,0
7lzordPuZEXxwt9aoVZYmG,"Billy Idol",https://i.scdn.co/image/ab6761610000e5ebd42c6334786bfdea92beeb5d,0
4BFMTELQyWJU1SwqcXMBm3,"The Stooges",https://i.scdn.co/image/1d9f0cf8e6d8d51f28369eccd78dca2882fb0d83,0
0oSGxfWSnnOXhD2fKuz2Gy,"David Bowie",https://i.scdn.co/image/ab6761610000e5ebb78f77c5583ae99472dd4a49,0
3syIAcIriqzXKN77IwQnWB,"Tammy Ruggieri",,0
3mIj9lX2MWuHmhNCA7LSCW,"The 1975",https://i.scdn.co/image/ab6761610000e5eb89348336354096fd4e36ca73,0
4BxCuXFJrSWGi1KHcVqaU4,Kodaline,https://i.scdn.co/image/ab6761610000e5eb0b99560e4162fe239ac6d3ba,0
3rWZHrfrsPBxVy692yAIxF,WILLOW,https://i.scdn.co/image/ab6761610000e5eb4ce5f9fdf769f2606f23e72c,0
5y8tKLUfMvliMe8IKamR32,d4vd,https://i.scdn.co/image/ab6761610000e5eb28c3ef75093c1926cfa82d66,0
2mG8HHQ9S9kcbjcrb5N1FE,"The Go-Go's",https://i.scdn.co/image/5506a4ed9d4abd277f4eda5a92239dc68073d46d,0
1u7kkVrr14iBvrpYnZILJR,"Sex Pistols",https://i.scdn.co/image/ab6761610000e5ebd3fa01fd4baad1158dd2fd8b,0
5bS74zNlZCPARTsW3Lurw5,"Runa Laila",https://i.scdn.co/image/ab67616d0000b2734044a419c6492000281f5716,0
0QntOArZgiNHoemAzwJPu5,"Gur Sidhu",https://i.scdn.co/image/ab6761610000e5eb539a63c49accffca328dd09f,0
4yxICw7joYAxRI2sTRldLB,"Rajat Nagpal",https://i.scdn.co/image/ab6761610000e5eb5d8708f3c005f010b29a062d,0
