songID,songName,artistId,popularity,track_href
5GUz1LkyUwjMxC5aC1H5zW,Slut Pop,3Xt3RrJMFv5SZkCfUE8C1J,57,https://api.spotify.com/v1/tracks/5GUz1LkyUwjMxC5aC1H5zW
0xRdK85KUPVppTaMB5nqCb,Purgatory,3Xt3RrJMFv5SZkCfUE8C1J,49,https://api.spotify.com/v1/tracks/0xRdK85KUPVppTaMB5nqCb
2WyowWnKQFrhHR7SLs2Fnf,Divine,46pWGuE3dSwY3bMMXGBvVS,46,https://api.spotify.com/v1/tracks/2WyowWnKQFrhHR7SLs2Fnf
0xPz8qjfchKRCAmABJH65Z,Won Da Mo,5JWBXFlYkBy3n2oN1To790,52,https://api.spotify.com/v1/tracks/0xPz8qjfchKRCAmABJH65Z
0xPz8qjfchKRCAmABJH65Z,Won Da Mo,46pWGuE3dSwY3bMMXGBvVS,52,https://api.spotify.com/v1/tracks/0xPz8qjfchKRCAmABJH65Z
0xPz8qjfchKRCAmABJH65Z,Won Da Mo,6DUbLg2GQ7Dd7G9v6uwoPT,52,https://api.spotify.com/v1/tracks/0xPz8qjfchKRCAmABJH65Z
0xPz8qjfchKRCAmABJH65Z,Won Da Mo,3Uv5hfyuC7TkLsQ6p4ikSb,52,https://api.spotify.com/v1/tracks/0xPz8qjfchKRCAmABJH65Z
0xPz8qjfchKRCAmABJH65Z,Won Da Mo,6FbCERtE2CKqEWihHMYjcG,52,https://api.spotify.com/v1/tracks/0xPz8qjfchKRCAmABJH65Z
0xPz8qjfchKRCAmABJH65Z,Won Da Mo,0rskhjcLm5BxjwZDRs4142,52,https://api.spotify.com/v1/tracks/0xPz8qjfchKRCAmABJH65Z
0xPz8qjfchKRCAmABJH65Z,Won Da Mo,379IT6Szv0zgnw4xrdu4mu,52,https://api.spotify.com/v1/tracks/0xPz8qjfchKRCAmABJH65Z
0xPz8qjfchKRCAmABJH65Z,Won Da Mo,3ZpEKRjHaHANcpk10u6Ntq,52,https://api.spotify.com/v1/tracks/0xPz8qjfchKRCAmABJH65Z
0xPz8qjfchKRCAmABJH65Z,Won Da Mo,4f8vvLN5Rt3WszqOqVR9e9,52,https://api.spotify.com/v1/tracks/0xPz8qjfchKRCAmABJH65Z
1MpCaOeUWhox2Fgigbe1cL,I'M THAT GIRL,6vWDO969PvNqNYHIOW5v0m,75,https://api.spotify.com/v1/tracks/1MpCaOeUWhox2Fgigbe1cL
1kINLseIy6cqaRZQSI7sPH,I'M THAT GIRL,6vWDO969PvNqNYHIOW5v0m,59,https://api.spotify.com/v1/tracks/1kINLseIy6cqaRZQSI7sPH
1cU4MUEan3LLm49lVAiTNI,Intro,3t5xRXzsuZmMDkQzgOX35S,28,https://api.spotify.com/v1/tracks/1cU4MUEan3LLm49lVAiTNI
22RAohcXyZZd4eY51o0mS0,Intro,3t5xRXzsuZmMDkQzgOX35S,23,https://api.spotify.com/v1/tracks/22RAohcXyZZd4eY51o0mS0
